"","X.","Nicotinamide..Azithromycin..Nitazoxanide","Nicotinamide..Placebo","Placebo..Azithromycin..Nitazoxanide","Placebo..Placebo","Overall"
"144","  Mean (SD)","17.4 (1.59)","17.6 (2.13)","17.4 (2.08)","17.6 (1.87)","17.5 (1.91)"
"145","  Median [Min, Max]","17.6 [14.4, 22.2]","17.3 [12.7, 26.0]","17.2 [13.3, 22.6]","17.3 [14.3, 23.6]","17.3 [12.7, 26.0]"
"146","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"147","bmi_9m","","","","",""
"148","  Mean (SD)","17.2 (1.47)","17.2 (1.41)","17.2 (1.56)","17.5 (1.76)","17.3 (1.55)"
"149","  Median [Min, Max]","17.4 [13.8, 20.8]","17.1 [15.0, 22.8]","16.9 [13.8, 20.9]","17.5 [13.5, 21.7]","17.2 [13.5, 22.8]"
"150","  Missing","2 (3.8%)","0 (0%)","0 (0%)","0 (0%)","2 (1.0%)"
"151","bmi_12m","","","","",""
"152","  Mean (SD)","17.3 (1.31)","17.0 (1.09)","17.0 (1.52)","17.3 (1.40)","17.1 (1.33)"
"153","  Median [Min, Max]","17.2 [14.8, 20.3]","17.0 [15.0, 19.4]","16.5 [14.1, 21.0]","17.0 [14.9, 21.4]","17.0 [14.1, 21.4]"
"154","  Missing","12 (22.6%)","6 (12.5%)","7 (15.6%)","11 (20.4%)","36 (18.0%)"
"155","bmi_15m","","","","",""
"156","  Mean (SD)","16.9 (1.65)","16.7 (1.66)","16.8 (1.81)","16.9 (1.39)","16.8 (1.62)"
"157","  Median [Min, Max]","16.7 [13.9, 21.3]","16.8 [13.4, 21.4]","16.8 [13.0, 23.5]","17.0 [12.8, 19.8]","16.8 [12.8, 23.5]"
"158","  Missing","8 (15.1%)","11 (22.9%)","8 (17.8%)","11 (20.4%)","38 (19.0%)"
"159","bmi_18m","","","","",""
"160","  Mean (SD)","16.6 (1.42)","16.5 (1.59)","16.5 (1.38)","16.6 (1.26)","16.6 (1.40)"
"161","  Median [Min, Max]","16.6 [13.6, 20.2]","16.4 [13.7, 21.1]","16.4 [13.5, 21.6]","16.6 [14.1, 20.0]","16.6 [13.5, 21.6]"
"162","hcircm_3m","","","","",""
"163","  Mean (SD)","39.7 (1.42)","40.0 (1.16)","39.6 (0.995)","39.5 (1.81)","39.7 (1.40)"
"164","  Median [Min, Max]","39.8 [37.0, 44.0]","40.0 [38.0, 43.0]","39.6 [37.0, 41.5]","39.3 [35.5, 43.0]","39.7 [35.5, 44.0]"
"165","  Missing","1 (1.9%)","0 (0%)","1 (2.2%)","1 (1.9%)","3 (1.5%)"
"166","hcircm_6m","","","","",""
"167","  Mean (SD)","42.4 (1.38)","42.6 (1.05)","42.1 (1.03)","42.4 (1.42)","42.4 (1.25)"
"168","  Median [Min, Max]","42.3 [39.0, 45.5]","42.5 [40.5, 45.0]","42.4 [39.3, 43.5]","42.1 [39.0, 45.6]","42.4 [39.0, 45.6]"
"169","  Missing","0 (0%)","1 (2.1%)","0 (0%)","1 (1.9%)","2 (1.0%)"
"170","hcircm_9m","","","","",""
"171","  Mean (SD)","44.0 (1.59)","44.1 (1.21)","43.8 (1.18)","43.9 (1.45)","44.0 (1.37)"
"172","  Median [Min, Max]","44.0 [40.9, 49.0]","44.0 [41.8, 47.0]","43.7 [41.0, 47.0]","44.0 [41.0, 47.5]","44.0 [40.9, 49.0]"
"173","  Missing","0 (0%)","0 (0%)","0 (0%)","1 (1.9%)","1 (0.5%)"
"174","hcircm_12m","","","","",""
"175","  Mean (SD)","45.1 (1.39)","45.2 (1.32)","44.7 (1.12)","45.1 (1.30)","45.0 (1.29)"
"176","  Median [Min, Max]","44.8 [43.0, 48.2]","45.0 [42.8, 49.0]","44.9 [41.7, 46.8]","45.0 [42.3, 47.5]","45.0 [41.7, 49.0]"
"177","  Missing","8 (15.1%)","5 (10.4%)","7 (15.6%)","8 (14.8%)","28 (14.0%)"
"178","hcircm_15m","","","","",""
"179","  Mean (SD)","45.6 (1.49)","45.9 (1.35)","45.8 (0.893)","45.9 (1.32)","45.8 (1.29)"
"180","  Median [Min, Max]","45.4 [42.9, 48.5]","46.0 [43.0, 49.3]","45.6 [43.3, 47.4]","45.6 [43.5, 49.0]","45.7 [42.9, 49.3]"
"181","  Missing","8 (15.1%)","11 (22.9%)","7 (15.6%)","9 (16.7%)","35 (17.5%)"
"182","hcircm_18m","","","","",""
"183","  Mean (SD)","46.3 (1.53)","46.4 (1.18)","46.1 (1.22)","46.5 (1.39)","46.3 (1.34)"
"184","  Median [Min, Max]","46.2 [43.5, 49.7]","46.5 [44.2, 49.5]","46.2 [43.5, 49.0]","46.5 [43.5, 50.0]","46.5 [43.5, 50.0]"
"185","waz_3m","","","","",""
